Removed Pin From Net: NetName=GND Pin=B1-1
Removed Pin From Net: NetName=IO5 Pin=B1-2
Change Component Footprint: Designator=B1 Old Footprint=BUZZER_HNB09A03 New Footprint=SMD-8503-3627-16O
Change Component Comment : Designator=B1 Old Comment=HNB09A03 New Comment=SMD-8503-3627-16
Change component parameters: Designator = "B1" ("B1"); Footprint = "BUZZER_HNB09A03"; UniqueID = "\NXFKMXDZ" ("\NXFKMXDZ")
Change component parameters (AddParameter): Name = "Category"; Value = "Uncategorized"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "S&S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SMD-8503-3627-16"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.32810, 10=0.26310, 30=0.23430, 100=0.19950, 500=0.18440, 1000=0.17540 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "10938"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "C2685545"; VariantName = "[No Variations]"
Added Component: Designator=ANT1(W3010)
Add component (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "RF Antennas"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/8153/+w3043-8153043.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/8153/+w3043-8153043.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/15329/268317-15329727.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/15329/268317-15329727.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/2792/+w3043-2792612.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/2792/+w3043-2792612.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.043inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Impedance"; Value = "50R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Pulse"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "W3043"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Frequency"; Value = "2.4835GHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
