LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Order Qty.,Min\Mult Order Qty., Unit Price , Order Price ,Description,Product Link
C2832999,GD25Q80ESIG,GigaDevice Semicon Beijing,SOP-8-208mil,1,1, $0.46 , $0.46 ,2.7V~3.6V -40℃~85℃ 8Mbit 133MHz SOP-8-208mil  NOR FLASH ROHS,https://assets.lcsc.com/images/lcsc/96x96/20210526_GigaDevice-Semicon-Beijing-GD25Q80ESIG_C2832999_front.jpg
C3019597,W3043,Pulse Elec,-,2,1, $1.52 , $3.05 ,Chip antenna Vertical 50Ω -  Antennas ROHS,https://assets.lcsc.com/images/lcsc/96x96/20220623_Pulse-Elec-W3043_C3019597_front.jpg
C2685545,SMD-8503-3627-16Ω,S&S,SMD,1,1, $0.35 , $0.35 , SMD  Buzzers ROHS,https://assets.lcsc.com/images/lcsc/96x96/20210121_S-S-SMD-8503-3627-16R_C2685545_front.jpg
C964848,MY-521-01,MYOUNG,SMD,4,1, $0.16 , $0.64 ,Battery button SR521 SMD  Battery Connectors ROHS,https://assets.lcsc.com/images/lcsc/96x96/20201222_MYOUNG-MY-521-01_C964848_front.jpg
C45783,CL21A226MAQNNNE,Samsung Electro-Mechanics,805,20,20, $0.02 , $0.45 ,25V 22uF X5R ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://assets.lcsc.com/images/lcsc/96x96/20190222_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783_front.jpg
C77083,GRM21BR71H105KA12L,Murata Electronics,805,10,10, $0.05 , $0.51 ,50V 1uF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_Murata-Electronics-GRM21BR71H105KA12L_C77083_front.jpg
C141660,GRM21BR60J107ME15L,Murata Electronics,805,3,1, $0.40 , $1.21 ,6.3V 100uF X5R ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_Murata-Electronics-GRM21BR60J107ME15L_C141660_front.jpg
C107115,CC0805JRNPO9BN330,YAGEO,805,100,100, $0.01 , $0.77 ,50V 33pF NP0 ±5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://assets.lcsc.com/images/lcsc/96x96/20200926_YAGEO-CC0805JRNPO9BN330_C107115_front.jpg
C21107,BAT54HT1G,onsemi,SOD-323,10,10, $0.05 , $0.51 ,30V 800mV@100mA 200mA SOD-323  Schottky Barrier Diodes (SBD) ROHS,https://assets.lcsc.com/images/lcsc/96x96/20190622_onsemi-BAT54HT1G_C21107_front.jpg
C183502,RB160M-30TR,ROHM Semicon,SOD-123,5,5, $0.10 , $0.50 ,30V 480mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180921_ROHM-Semicon-RB160M-30TR_C183502_front.jpg
C21519,MPZ2012S601AT000,TDK,805,10,10, $0.05 , $0.52 ,2A 1 100mΩ 600Ω@100MHz ±25% 0805  Ferrite Beads ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_TDK-MPZ2012S601AT000_C21519_front.jpg
C127364,788000001,MOLEX,SMD,1,1, $0.70 , $0.70 ,Clamshell 1.5mm Deck MicroSIM card SMD  SIM Card Connectors ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_MOLEX-788000001_C127364_front.jpg
C132562,10118193-0001LF,Amphenol ICC,SMD,3,1, $0.23 , $0.69 ,USB 2.0 1 Surface Mount 5 Female Micro-B SMD  USB Connectors ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_Amphenol-ICC-10118193-0001LF_C132562_front.jpg
C84376,RC0805FR-0710KL,YAGEO,805,200,100, $0.00 , $0.46 ,125mW 150V ±100ppm/℃ ±1% -55℃~+155℃ 10kΩ 0805  Chip Resistor - Surface Mount ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_YAGEO-RC0805FR-0710KL_C84376_front.jpg
C105427,RC0805JR-074K7L,YAGEO,805,100,100, $0.00 , $0.20 ,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% -55℃~+155℃ 4.7kΩ 0805  Chip Resistor - Surface Mount ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_YAGEO-RC0805JR-074K7L_C105427_front.jpg
C131051,RC0805JR-0747KL,YAGEO,805,100,100, $0.00 , $0.18 ,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% -55℃~+155℃ 47kΩ 0805  Chip Resistor - Surface Mount ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_YAGEO-RC0805JR-0747KL_C131051_front.jpg
C114526,RC0805FR-071K2L,YAGEO,805,100,100, $0.00 , $0.23 ,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% -55℃~+155℃ 1.2kΩ 0805  Chip Resistor - Surface Mount ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_YAGEO-RC0805FR-071K2L_C114526_front_10.jpg
C95781,RC0805FR-071KL,YAGEO,805,100,100, $0.00 , $0.23 ,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% -55℃~+155℃ 1kΩ 0805  Chip Resistor - Surface Mount ROHS,https://assets.lcsc.com/images/lcsc/96x96/20210929_YAGEO-RC0805FR-071KL_C95781_front.jpg
C114536,RC0805FR-07560RL,YAGEO,805,100,100, $0.00 , $0.23 ,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% -55℃~+155℃ 560Ω 0805  Chip Resistor - Surface Mount ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_YAGEO-RC0805FR-07560RL_C114536_front_10.jpg
C105577,RC0805FR-07100RL,YAGEO,805,100,100, $0.00 , $0.23 ,125mW 150V ±100ppm/℃ ±1% -55℃~+155℃ 100Ω 0805  Chip Resistor - Surface Mount ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_YAGEO-RC0805FR-07100RL_C105577_front.jpg
C107702,RC0805FR-0722RL,YAGEO,805,100,100, $0.00 , $0.23 ,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% -55℃~+155℃ 22Ω 0805  Chip Resistor - Surface Mount ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_YAGEO-RC0805FR-0722RL_C107702_front_10.jpg
C96345,RC0805JR-070RL,YAGEO,805,100,100, $0.00 , $0.19 ,125mW Thick Film Resistors 150V -55℃~+155℃ 0Ω 0805  Chip Resistor - Surface Mount ROHS,https://assets.lcsc.com/images/lcsc/96x96/20211015_YAGEO-RC0805JR-070RL_C96345_front.jpg
C428628,1825910-6,TE Connectivity,Plugin,5,5, $0.07 , $0.33 ,6mm 5mm Round Button 50mA Straight 6mm SPST 24V Plugin  Tactile Switches ROHS,https://assets.lcsc.com/images/lcsc/96x96/20191010_TE-Connectivity-1825910-6_C428628_front.jpg
C701342,ESP32-WROOM-32E-N8,Espressif Systems,"SMD38,18x25.5x3.1",3,1, $3.19 , $9.58 ," SMD38,18x25.5x3.1  WiFi Modules ROHS",https://assets.lcsc.com/images/lcsc/96x96/20200727_Espressif-Systems-ESP32-WROOM-32E-N8_C701342_front.jpg
C126275,SIM808,SIMCom Wireless Solutions,SMD Module,3,1, $9.38 , $28.14 , SMD Module  2G/3G/4G/5G Modules ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_SIMCom-Wireless-Solutions-SIM808_C126275_front.jpg
C725790,TP4056,"UMW(Youtai Semiconductor Co., Ltd.)",ESOP-8,5,5, $0.08 , $0.41 , ESOP-8  Battery Management ICs ROHS,https://assets.lcsc.com/images/lcsc/96x96/20200822_UMW-Youtai-Semiconductor-Co---Ltd--TP4056_C725790_front.jpg
C840099,SN74AHC1G09DBVR,Texas Instruments,SOT-23-5,2,1, $0.32 , $0.65 ,74AHC 2V~5.5V 1uA 2 1 And SOT-23-5  Gates ROHS,https://assets.lcsc.com/images/lcsc/96x96/20200919_Texas-Instruments-SN74AHC1G09DBVR_C840099_front.jpg
C351410,DW01A,PUOLOP,SOT-23-6L,10,10, $0.04 , $0.37 , SOT-23-6L  Battery Management ICs ROHS,https://assets.lcsc.com/images/lcsc/96x96/20190109_PUOLOP-DW01A_C351410_front.jpg
C16052,FS8205A,Fortune Semicon,TSSOP-8(3x4.4x0.65）,5,5, $0.24 , $1.21 ,"20V 6A 25mΩ@4.5V,4A 1W 1V@250uA 2 N-Channel TSSOP-8(3x4.4x0.65）  MOSFETs ROHS",https://assets.lcsc.com/images/lcsc/96x96/20180914_Fortune-Semicon-FS8205A_C16052_front.jpg
C964632,CP2102N-A02-GQFN28R,SILICON LABS,QFN-28,1,1, $2.69 , $2.69 , QFN-28  USB ICs ROHS,https://assets.lcsc.com/images/lcsc/96x96/20220920_SILICON-LABS-CP2102N-A02-GQFN28R_C964632_front.jpg
C123008,UMH3NTN,ROHM Semicon,SOT-363,5,5, $0.07 , $0.33 ,2 NPN - Pre-Biased 150mW 100mA 50V SOT-363  Digital Transistors ROHS,https://assets.lcsc.com/images/lcsc/96x96/20180914_ROHM-Semicon-UMH3NTN_C123008_front.jpg
C2960985,ES36NC5M,JESTEK,SOT-363,10,10, $0.04 , $0.35 , SOT-363  ESD Protection Devices ROHS,https://assets.lcsc.com/images/lcsc/96x96/20220407_JESTEK-ES36NC5M_C2960985_front.jpg
C840634,CG0603MLC-05E,BOURNS,603,5,5, $0.20 , $0.99 ,30V 0.2pF@1MHz 5V 0603  Varistors ROHS,https://assets.lcsc.com/images/lcsc/96x96/20210402_BOURNS-CG0603MLC-05E_C840634_front.jpg
C83055,0805B104K500CT,Walsin Tech Corp,805,50,50, $0.01 , $0.32 ,50V 100nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://assets.lcsc.com/images/lcsc/96x96/20200709_Walsin-Tech-Corp-0805B104K500CT_C83055_front.jpg
C2174205,TMK212BJ105KD-T,Taiyo Yuden,805,20,20, $0.03 , $0.60 ,25V 1uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://assets.lcsc.com/images/lcsc/96x96/20220311_Taiyo-Yuden-TMK212BJ105KD-T_C2174205_front.jpg
